trials.thisTrialN,trials.stepSize,trials.intensity,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,corrAns,key_resp.corr,tilt,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
68,0.5,1.0,107.07716169999912,107.56086619998678,107.56086619998678,107.57751599999028,107.86066459998256,right,1,1.0,1,0.6206875999923795,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
69,0.5,1.0,108.21158779997495,108.695576899976,108.695576899976,108.71199279997381,108.99556349997874,left,1,-1.0,1,0.6723917999770492,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
70,0.5,1.0,109.39623899999424,109.8968440000026,109.8968440000026,109.8968440000026,110.19710150000174,right,0,1.0,0,1.1478826999955345,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
71,0.5,1.5,111.06451239998569,111.56527900000219,111.56527900000219,111.56527900000219,111.86535749997711,left,1,-1.5,1,0.6556083000032231,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
72,0.5,1.5,112.2489968999871,112.75002839998342,112.75002839998342,112.75002839998342,113.05018189997645,left,1,-1.5,1,0.5962643000239041,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
73,0.5,1.5,113.36717659997521,113.85100299998885,113.85100299998885,113.86755789999734,114.1513649999979,left,1,-1.5,1,0.6609638000081759,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
74,0.5,1.0,114.53502099998877,115.03586119998363,115.03586119998363,115.03586119998363,115.33907459999318,right,1,1.0,1,0.6758929999778047,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
75,0.5,1.0,115.73624259998905,116.23711249997723,116.23711249997723,116.23711249997723,116.53736789998948,left,1,-1.0,1,0.6766411999997217,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
76,0.5,1.0,116.93765589999384,117.438311099977,117.438311099977,117.438311099977,117.73872439999832,left,1,-1.0,1,0.6602998999878764,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
77,0.5,1.0,118.12210079998476,118.62290989997564,118.62290989997564,118.62290989997564,118.92320009999094,right,0,1.0,0,0.7109454000019468,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
78,0.5,1.5,119.35767609998584,119.85764139998355,119.85764139998355,119.85764139998355,120.15805259998888,left,1,-1.5,1,0.6467986999778077,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
79,0.5,1.5,120.5249362999748,121.00888799998211,121.00888799998211,121.02562539998326,121.3091235999891,right,0,1.5,0,0.6149281999969389,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
80,0.5,2.0,121.64286459999857,122.14342199999373,122.14342199999373,122.14342199999373,122.44352139998227,right,0,2.0,0,0.8372478999954183,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
81,0.5,2.5,123.01115589999245,123.51157549998607,123.51157549998607,123.51157549998607,123.81177249999018,right,1,2.5,1,0.9352434000174981,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
82,0.5,2.5,124.4792741999845,124.96404359998996,124.96404359998996,124.98014289999264,125.26377449999563,right,1,2.5,1,1.6327119000197854,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
83,0.5,2.5,126.61541609998676,127.11560629997985,127.11560629997985,127.11560629997985,127.41539999999804,right,1,2.5,1,0.6982720000087284,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
84,0.5,2.0,127.83359389999532,128.31677009997657,128.31677009997657,128.33362819999456,128.61712679997436,left,1,-2.0,1,0.66281650000019,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
85,0.5,2.0,129.00069200000144,129.4849555999972,129.4849555999972,129.50143759997445,129.7851996999816,right,0,2.0,0,0.9157111000095028,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
86,0.5,2.5,130.41939679998904,130.91958929999964,130.91958929999964,130.91958929999964,131.2201962999825,right,1,2.5,1,0.721071399981156,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
87,0.5,2.5,131.67055719997734,132.17118489998393,132.17118489998393,132.17118489998393,132.47135139998863,left,1,-2.5,1,0.6642346000007819,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
88,0.5,2.5,132.8551825999748,133.3559739999764,133.3559739999764,133.3559739999764,133.65590439998778,right,1,2.5,1,0.6711674999969546,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
89,0.5,2.0,134.05674010000075,134.54027859997586,134.54027859997586,134.55702859998564,134.84074509999482,left,1,-2.0,1,0.6222976999997627,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
90,0.5,2.0,135.19116759998724,135.69180939998478,135.69180939998478,135.69180939998478,135.99216719999094,right,1,2.0,1,0.6152383000007831,0001,001,2023-09-07_07h58.12.472,Adaptive staircase procedure,2023.1.3,60.2059283659444,
